,source,target,oneway,lanes,bridge,frequency,highway,num of detections,width,osmid,geometry,ref,service,maxspeed,length,access,name,tunnel,log_date
194,1261877476,560055797,False,,,0.25,track,1,,44060131,"LINESTRING (2.6231999 39.5640146, 2.6229551 39.5638616, 2.6228478 39.5637779, 2.6228287 39.5636677, 2.6227459 39.563354, 2.6225545 39.563038, 2.6223996 39.5628757, 2.6222444 39.5627836, 2.6221106 39.562723, 2.6219279 39.5626973, 2.6218216 39.5626541, 2.6217433 39.5626412, 2.6216706 39.5625765, 2.6216706 39.5624557, 2.6217427 39.5623098, 2.6217672 39.5621596, 2.6216874 39.5619942, 2.6214356 39.561757, 2.6213461 39.5616276, 2.6213125 39.561468, 2.6213256 39.5612293, 2.6212622 39.5610151, 2.6211328 39.560804, 2.6208959 39.5606459)",,,,461.3759999999999,,Camí del polvorí,,"03/11/2020, 19:57:46"
195,2263220453,1261877527,False,,,0.3333333333333333,footway,1,,"[110514354, 117626258]","LINESTRING (2.6230066 39.5669688, 2.6230991 39.5669004, 2.6233793 39.5668268, 2.6234731 39.5668359, 2.6235444 39.5668652, 2.6236069 39.5668874, 2.623679 39.5669108, 2.6237678 39.5669543, 2.6238325 39.5670002)",,,,80.552,,Sender de llevant,,"03/11/2020, 19:57:46"
196,2263220453,317813079,False,,,0.3333333333333333,footway,1,,117626258,"LINESTRING (2.6230066 39.5669688, 2.6229529 39.5670084, 2.6228095 39.5670658, 2.6224018 39.5669831, 2.6221443 39.5670079, 2.6218054 39.5670962, 2.6215649 39.567165, 2.6212109 39.5672974, 2.6210348 39.5673733, 2.6205514 39.5675169)",,,,226.681,,Sender de llevant,,"03/11/2020, 19:57:46"
197,2263220453,317813125,False,,,0.3333333333333333,path,1,,216998775,"LINESTRING (2.6230066 39.5669688, 2.6230165 39.5670667, 2.6230059 39.5671513, 2.622967 39.5672441, 2.6229245 39.5673232, 2.6228714 39.5674242, 2.6228714 39.5675197, 2.6227794 39.5676343, 2.6226307 39.5677707, 2.6226732 39.567888, 2.6226626 39.568049, 2.6225989 39.5681581, 2.622475 39.5681936, 2.6223688 39.5682454, 2.6219719 39.5683555)",,,,201.29899999999998,,,,"03/11/2020, 19:57:46"
198,1404437735,1404437785,False,,,1.0,service,1,,126771497,,,parking_aisle,,21.532,,,,"03/11/2020, 19:57:46"
199,2263220458,1594916450,False,2,,0.3333333333333333,residential,1,,108909677,,,,40,49.768,,,,"03/11/2020, 19:57:46"
200,2263220458,293027778,False,2,,0.3333333333333333,residential,1,,108909677,"LINESTRING (2.6184912 39.5670807, 2.6183946 39.5670145, 2.6180513 39.5669748, 2.6176136 39.5669946, 2.6170213 39.5671336)",,,40,131.489,,,,"03/11/2020, 19:57:46"
201,2263220458,4807660720,False,,,0.3333333333333333,track,1,,216998780,"LINESTRING (2.6184912 39.5670807, 2.6186573 39.5670207, 2.6189158 39.566946, 2.6190896 39.5668993, 2.6192229 39.5668993, 2.6194532 39.5669927, 2.6195623 39.5670425, 2.6197158 39.5670955, 2.6197956 39.5671167)",,,,121.416,,,,"03/11/2020, 19:57:46"
202,1357644018,1402519889,False,,,1.0,footway,1,,119432568,"LINESTRING (2.6173448 39.5624953, 2.6171091 39.5622039, 2.6170379 39.5620565, 2.6169935 39.561693, 2.6170253 39.5615733)",,,,109.86,,,,"03/11/2020, 19:57:46"
203,1408797941,1408797942,False,,,1.0,footway,1,,127238322,,,,,17.729,,,,"03/11/2020, 19:57:46"
204,1357644022,699940344,False,,,1.0,service,1,,121228360,"LINESTRING (2.6174362 39.562667, 2.617466 39.5626081, 2.6174405 39.5624869, 2.6174192 39.5623394, 2.6173852 39.5622117, 2.6173852 39.5620773, 2.6174396 39.561906)",,,,86.23700000000001,,,,"03/11/2020, 19:57:46"
205,1408797942,1408797941,False,,,0.5,footway,1,,127238322,,,,,17.729,,,,"03/11/2020, 19:57:46"
206,1408797942,368237715,False,,,0.5,living_street,1,,32725262,"LINESTRING (2.6254112 39.5576082, 2.6251674 39.5575812, 2.6250269 39.5575248, 2.6248322 39.5574612, 2.6247051 39.557445, 2.6245605 39.5574689)",,,,76.545,,,,"03/11/2020, 19:57:46"
207,1357644024,1357644001,False,,,0.3333333333333333,footway,1,,121228357,"LINESTRING (2.6177625 39.5627531, 2.617837 39.5626706, 2.617716 39.5622831, 2.6177439 39.5621611, 2.6178137 39.5620606, 2.6181231 39.5618838)",,,,114.96300000000001,,,,"03/11/2020, 19:57:46"
208,1357644024,1357644038,False,,,0.3333333333333333,footway,1,,121228358,"LINESTRING (2.6177625 39.5627531, 2.6178509 39.5628069, 2.6179021 39.5628858, 2.6179068 39.5629827, 2.6178416 39.563137, 2.6178906 39.5631943)",,,,55.923,,,,"03/11/2020, 19:57:46"
209,1357644024,699940346,False,,,0.3333333333333333,footway,1,,121228358,"LINESTRING (2.6177625 39.5627531, 2.6175903 39.5624409, 2.6175158 39.5622005, 2.6174926 39.5620355, 2.6175222 39.5619018)",,,,98.744,,,,"03/11/2020, 19:57:46"
210,2263220476,317813195,False,2,,0.3333333333333333,residential,1,,108909677,"LINESTRING (2.6221385 39.5692713, 2.6228094 39.5692235, 2.623069 39.5691694)",,,40,80.803,,,,"03/11/2020, 19:57:46"
211,2263220476,1594916450,False,2,,0.3333333333333333,residential,1,,108909677,"LINESTRING (2.6221385 39.5692713, 2.6218021 39.5693018, 2.6216019 39.5692807, 2.6214286 39.569245, 2.6212533 39.5691716, 2.621112 39.5690698, 2.6199255 39.5681693, 2.6189184 39.5673838)",,,40,360.933,,,,"03/11/2020, 19:57:46"
